date,daily_score,weighted_tries,attempts,sends,mean_grade,max_grade,mean_grade_weight,max_grade_weight,leaky_load_3d,leaky_load_7d
2024-08-18,30.537858110408113,16.0,27.0,5.0,6.592592592592593,8.0,2.115463253781578,2.8576511180631634,47.44852475372237,77.91549004591091
2024-08-19,0.0,0.0,0.0,0.0,,,,,33.99835362657757,67.54321636900544
2024-08-20,0.0,0.0,0.0,0.0,,,,,24.360884881402768,58.551721548335514
2024-08-21,0.0,0.0,0.0,0.0,,,,,17.455336770808735,50.757193402578544
2024-08-22,0.0,0.0,0.0,0.0,,,,,12.507295332894438,44.00028921404106
2024-08-23,0.0,0.0,0.0,0.0,,,,,8.96186871661229,38.142878302268485
2024-08-24,0.0,0.0,0.0,0.0,,,,,6.421459536704448,33.065218233097276
2024-08-25,0.0,0.0,0.0,0.0,,,,,4.601176817631395,28.663506936688776
2024-08-26,0.0,0.0,0.0,0.0,,,,,3.2968872553191604,24.847760692751528
2024-08-27,7.1512075132006885,10.0,12.0,8.0,3.9166666666666665,7.0,0.8048403222446606,2.0137527074704766,9.51353045906855,28.69118211602825
2024-08-28,20.920723164209576,11.0,20.0,2.0,6.55,8.0,2.0445080637379416,2.8576511180631634,27.737465612229627,45.792474858302114
2024-08-29,0.0,0.0,0.0,0.0,,,,,19.874762587126305,39.69648442952793
2024-08-30,17.012138594306734,17.5,22.0,13.0,4.681818181818182,8.0,1.0929102848451864,2.8576511180631634,31.25302827820326,51.42414364404169
2024-08-31,0.0,0.0,0.0,0.0,,,,,22.393773311580677,44.57845363859851
2024-09-01,8.886398639860538,6.5,12.0,1.0,5.333333333333333,8.0,1.4223424325001968,2.8576511180631634,24.932238379499786,47.53047490419966
2024-09-02,0.0,0.0,0.0,0.0,,,,,17.86472944160111,41.203118259081315
2024-09-03,24.501186332097188,13.5,20.0,7.0,6.15,9.0,2.213422373107429,4.0551999668446745,37.30182433193379,60.21925895168796
2024-09-04,4.872456747076292,12.0,12.0,12.0,2.3333333333333335,3.0,0.4060380622563577,0.4965853037914095,31.60038182243007,57.07520147162788
2024-09-05,0.0,0.0,0.0,0.0,,,,,22.642663001857965,49.47723077954325
2024-09-06,40.282218732040114,7.0,14.0,0.0,10.0,10.0,5.754602676005731,5.754602676005731,56.50639572764205,83.17293663566561
2024-09-07,0.0,0.0,0.0,0.0,,,,,40.48860178652853,72.10078062678073
2024-09-08,9.160213181022815,5.0,7.0,3.0,6.0,9.0,2.4672304449588807,4.0551999668446745,38.17156408242437,71.66278646111508
2024-09-09,9.164845685922387,15.5,17.0,14.0,3.2941176470588234,6.0,0.6309837355928454,1.4190675485932571,36.515966524553306,71.28773150357958
2024-09-10,0.0,0.0,0.0,0.0,,,,,26.164833350706797,61.79775896377792
2024-09-11,0.0,0.0,0.0,0.0,,,,,18.74792233172673,53.57111149978776
2024-09-12,57.54602676005731,10.0,20.0,0.0,10.0,10.0,5.754602676005731,5.754602676005731,70.97950011894507,103.98563938427613
2024-09-13,9.710426403632503,17.0,18.0,16.0,3.0,7.0,0.6066644543293962,2.0137527074704766,60.56946064773265,99.85327907725355
2024-09-14,0.0,0.0,0.0,0.0,,,,,43.39991501866743,86.5606008496583
2024-09-15,17.282908162901744,5.0,10.0,0.0,8.2,10.0,3.456581632580349,5.754602676005731,48.3803061500186,92.32038002856731
2024-09-16,0.0,0.0,0.0,0.0,,,,,34.666004171633986,80.03049714330304
2024-09-17,10.300137220271848,10.0,11.0,9.0,4.454545454545454,9.0,1.1661579276085623,4.0551999668446745,35.139414621729195,79.6768064998213
2024-09-18,0.0,0.0,0.0,0.0,,,,,25.178490811703394,69.0700626773667
2024-09-19,0.0,0.0,0.0,0.0,,,,,18.041177019579944,59.87531086936905
2024-09-20,14.973530582175282,10.5,13.0,8.0,5.6923076923076925,9.0,1.747417907824919,4.0551999668446745,27.90059879630863,66.87811431550314
2024-09-21,0.0,0.0,0.0,0.0,,,,,19.991652621312507,57.97515927707592
2024-09-22,20.872217277509662,14.0,22.0,6.0,5.909090909090909,8.0,1.7153874392058697,2.8576511180631634,35.196862330794644,71.12960158930349
2024-09-23,8.67619906642976,20.5,21.0,20.0,2.380952380952381,5.0,0.43696186030617906,1.0,33.89585296039928,70.33687870223235
2024-09-24,0.0,0.0,0.0,0.0,,,,,24.287439944731354,60.97348568437446
2024-09-25,7.1441277951579085,2.5,4.0,1.0,8.0,8.0,2.8576511180631634,2.8576511180631634,24.546838969238465,60.0006950056762
2024-09-26,0.0,0.0,0.0,0.0,,,,,17.5885786970722,52.013276470071794
2024-09-27,0.0,0.0,0.0,0.0,,,,,12.602767344943375,45.08915986550137
2024-09-28,0.0,0.0,0.0,0.0,,,,,9.030277402528831,39.08679620570601
2024-09-29,0.0,0.0,0.0,0.0,,,,,6.470476502078857,33.88347980276579
2024-09-30,6.930470767767417,8.5,10.0,7.0,4.3,7.0,0.9653757249534521,2.0137527074704766,11.566769775838889,36.303310575416724
2024-10-01,21.578744009992363,7.0,12.0,2.0,7.75,10.0,3.316937633177513,5.754602676005731,29.866696716579497,53.04928163558817
2024-10-02,0.0,0.0,0.0,0.0,,,,,21.400423340840597,45.987249847514555
2024-10-03,0.0,0.0,0.0,0.0,,,,,15.334073383246423,39.86533056310027
2024-10-04,14.480550200020335,10.5,16.0,5.0,5.75,8.0,1.6510449156147857,2.8576511180631634,25.467893897752553,49.03892423140742
2024-10-05,15.718194350165898,12.0,15.0,9.0,4.866666666666666,11.0,1.7922719504477824,8.166169912567646,33.96673774227675,58.22895399389665
2024-10-06,0.0,0.0,0.0,0.0,,,,,24.33823111038975,50.477393342879076
2024-10-07,5.77704365531771,15.0,15.0,15.0,2.1333333333333333,4.0,0.3851362436878473,0.7046880897187134,23.21614828989305,49.534780381256525
2024-10-08,0.0,0.0,0.0,0.0,,,,,16.6350971606325,42.940606381490156
2024-10-09,0.0,0.0,0.0,0.0,,,,,11.919567970030327,37.22426267398543
2024-10-10,12.859430031284235,4.5,9.0,0.0,8.0,8.0,2.8576511180631634,2.8576511180631634,21.400173690323427,45.1283206778578
2024-10-11,0.0,0.0,0.0,0.0,,,,,15.33389450083417,39.12074384847406
2024-10-12,0.0,0.0,0.0,0.0,,,,,10.987215522882927,33.91290826403003
2024-10-13,32.473950472789504,15.5,24.0,7.0,6.583333333333333,10.0,2.5961233817509064,5.754602676005731,40.34663441095749,61.872301163132434
2024-10-14,22.326649101573807,8.0,13.0,3.0,7.615384615384615,10.0,3.099927829330234,5.754602676005731,51.23627593329873,75.96237958658077
