date,actual_send_rate,predicted_send_probability,grade_only_expected_send_probability,performance_residual,attempts,mean_grade,readiness
2024-12-16,1.0,0.9904785891708471,0.9883844429385786,0.011615557061421367,1,0.0,1652.8925087747648
2024-12-17,0.5714285714285714,0.36458173847223596,0.3756729037538265,0.19575566767474495,7,5.285714285714286,1495.5989899307376
2024-12-25,0.6,0.6994709601256133,0.7461006537542879,-0.14610065375428788,5,3.4,780.7681264106598
2024-12-26,0.23333333333333334,0.2969518164963278,0.3253529330695629,-0.09201959973622963,30,5.966666666666667,767.468215586195
2024-12-27,0.2857142857142857,0.5846906377563295,0.5657481112540756,-0.2800338255397899,21,4.571428571428571,1967.433958615678
2024-12-30,0.375,0.31997388426889745,0.31236480351658735,0.06263519648341266,24,6.083333333333333,1888.1633006494733
2025-01-02,0.0,0.10770974537192142,0.10023392045771826,-0.10023392045771826,7,7.0,2204.4168377723963
2025-01-06,0.7272727272727273,0.4244125959583119,0.42510490420118674,0.30216782307154055,11,4.909090909090909,1731.7654458711602
2025-01-07,1.0,0.8519334026971732,0.8318390349179803,0.16816096508201983,10,3.0,1894.9661746859529
2025-01-09,0.625,0.31792141961679277,0.3245729758435778,0.3004270241564222,16,5.625,1632.902450881169
2025-01-12,0.0,0.03298806876812294,0.03690000359506142,-0.03690000359506142,14,8.857142857142858,1638.698802821466
2025-01-15,0.5,0.2528503490543446,0.23753747130220404,0.2624625286977959,6,6.333333333333333,2130.956374786799
2025-01-18,0.7,0.8472190280423412,0.8318390349179803,-0.13183903491798016,20,3.0,1784.9714596955714
2025-01-20,0.45454545454545453,0.5136400948534813,0.5172393533032072,-0.0626938987577527,11,4.181818181818182,1624.2817626657322
2025-01-22,0.9,0.8374275907884149,0.8318390349179803,0.06816096508201983,20,3.0,1565.107159447496
2025-01-26,0.8,0.3557011062628759,0.39016738262735884,0.40983261737264115,15,5.266666666666667,1182.4699828942632
2025-01-29,0.5,0.502741312565871,0.5138046244213984,-0.013804624421398445,2,4.5,1228.8682633138794
2025-01-30,0.4642857142857143,0.36058793923907145,0.3883436651913542,0.07594204909436007,28,5.285714285714286,1164.9259864832643
2025-01-31,1.0,0.8667647668138228,0.8513890078964207,0.14861099210357928,7,2.2857142857142856,1924.06862181251
2025-02-01,0.14285714285714285,0.027132114291841,0.02862783946716118,0.11422930338998168,14,9.5,1790.9692838848387
2025-02-02,0.14285714285714285,0.08179168289861953,0.0663805621033473,0.07647658075379557,7,9.285714285714286,2905.536022612069
2025-02-04,0.125,0.12402001406972898,0.09287585443284503,0.03212414556715497,8,7.125,2944.3750821608573
2025-02-18,1.0,0.8125485417799778,0.8403405838403478,0.1596594161596522,7,2.7142857142857144,836.9943957310281
2025-02-21,1.0,0.690785722012341,0.7378324745851927,0.2621675254148073,8,3.25,666.7283518914747
2025-02-28,0.8333333333333334,0.46278206744869776,0.527657444215813,0.3056758891175204,6,4.5,384.8710415075882
2025-03-04,0.7,0.5461202594025442,0.6017012536136793,0.09829874638632075,10,4.1,360.9605069359097
2025-03-12,0.2,0.17207643326995103,0.199463320790582,0.0005366792094180228,10,7.0,264.9831685535612
2025-03-15,0.0,0.04609277655175178,0.07080165635822534,-0.07080165635822534,6,7.5,630.2316585697833
2025-03-18,1.0,0.6941674972813944,0.7444676683703868,0.25553233162961314,6,3.5,744.4368212123906
2025-03-21,0.6666666666666666,0.5952181073597129,0.6291147822127332,0.037551884453933426,9,3.7777777777777777,612.8971677813659
2025-03-23,1.0,0.8322728782605996,0.8636844660736797,0.13631553392632034,3,2.6666666666666665,675.5265439999041
2025-03-26,1.0,0.8278629661063771,0.8636091846922663,0.13639081530773367,16,2.375,518.4544489169947
2025-03-28,0.0,0.024829841384482052,0.04136939225873243,-0.04136939225873243,7,8.0,522.1970425463247
2025-04-04,0.75,0.4751595941724497,0.5483829813162941,0.20161701868370585,8,4.25,505.18298998196593
2025-04-06,0.4,0.39390596322403115,0.42347818135176374,-0.023478181351763706,10,5.1,560.192511551947
2025-04-11,0.5384615384615384,0.7477989311265418,0.7904933038193606,-0.2520317653578221,13,2.769230769230769,572.374989572046
2025-04-13,0.36363636363636365,0.5514693818552135,0.6077253315405088,-0.24408896790414517,11,3.8181818181818183,582.630520927854
2025-04-16,0.5,0.5909606501083217,0.6531606846316639,-0.1531606846316638,12,3.75,597.0069179503874
2025-04-18,1.0,0.8758399532065008,0.8991283129475094,0.10087168705249061,12,2.25,659.802195535082
2025-04-20,0.25,0.24267449170271893,0.2948640738511304,-0.044864073851130414,12,6.0,599.0147806052809
2025-04-22,0.3333333333333333,0.27258033613594185,0.2916581998738003,0.04167513345953302,6,6.333333333333333,908.4667095624169
2025-04-26,0.42857142857142855,0.46535897352213845,0.5152655374017877,-0.0866941088303592,14,4.428571428571429,813.4292754838791
2025-04-28,0.7692307692307693,0.3577564910018957,0.40110606345280897,0.3681247057779603,13,5.153846153846154,953.7178622280285
2025-05-04,0.25,0.3630185775085274,0.39192549864089915,-0.14192549864089915,8,5.25,748.4343350948484
2025-05-11,0.2727272727272727,0.3185636596946536,0.3834462771006411,-0.11071900437336839,11,5.090909090909091,516.5477635898196
2025-05-13,0.1,0.21707037087091244,0.2665151720610184,-0.16651517206101837,20,6.45,705.2228139118597
2025-05-17,0.45454545454545453,0.42569929167208914,0.4484584359088926,0.006087018636561927,11,4.818181818181818,1152.0552974519157
2025-05-19,0.7,0.5879975481631174,0.6072137024937636,0.09278629750623635,10,3.7,1242.724286640188
2025-05-21,0.16666666666666666,0.13567100015732103,0.15630744818862094,0.010359218478045726,18,6.833333333333333,1181.2321637337275
2025-05-23,0.375,0.05972030211611274,0.0641160566454863,0.31088394335451375,8,7.75,1751.6051404108255
2025-05-26,0.0,0.036348373204989494,0.04136939225873243,-0.04136939225873243,9,8.0,1693.8866879458412
2025-06-03,0.75,0.5689344830911666,0.5821093991622905,0.16789060083770946,16,4.125,1047.1454858105076
2025-06-07,0.23076923076923078,0.3307935293340166,0.37207087898350377,-0.14130164821427307,13,5.3076923076923075,1007.1397171753789
2025-06-09,0.8181818181818182,0.5579934473457127,0.5772031252496723,0.24097869293214583,11,3.909090909090909,1176.5580147137318
2025-06-10,0.0,0.031969004478612825,0.04136939225873243,-0.04136939225873243,7,8.0,1297.5937162030875
2025-06-15,0.125,0.08723685594084457,0.10960938541899402,0.01539061458100597,8,7.25,1087.3337533515923
2025-07-02,0.125,0.554256132378183,0.6570963018227935,-0.5320963018227935,8,4.0,285.0496715854681
2025-07-05,0.2727272727272727,0.5568166093061451,0.6570963018227935,-0.38436902909552084,11,4.0,315.96752690383613
2025-07-09,0.7777777777777778,0.528692638499921,0.6075299934276134,0.17024778435016444,9,3.888888888888889,342.18337401992886
2025-07-11,0.5625,0.47932748511409984,0.5376069654454783,0.024893034554521694,16,4.4375,425.83487580589053
2025-07-15,0.6,0.6435416940069217,0.7111521071352506,-0.11115210713525056,5,3.6,564.7341227507928
2025-07-20,0.2,0.5627791946928884,0.6570963018227935,-0.45709630182279354,5,4.0,388.11032316469704
2025-07-22,1.0,0.5629470934857147,0.6570963018227935,0.34290369817720645,1,4.0,390.14485060484805
2025-07-25,0.2222222222222222,0.5556706903412313,0.6570963018227935,-0.43487407960057134,9,4.0,302.1261060824658
2025-07-27,0.2857142857142857,0.3316719447618396,0.3983652190741832,-0.11265093335989747,14,5.071428571428571,377.6565225545936
2025-08-05,0.38461538461538464,0.6865491524520654,0.7559693381322833,-0.37135395351689865,13,3.3846153846153846,330.1299667719069
2025-08-07,0.32,0.36996904842419304,0.43339297805121485,-0.1133929780512148,25,4.96,411.4421935223821
2025-08-10,0.25,0.44753417204565504,0.5060681927074796,-0.25606819270747966,20,4.6,892.6525544286249
2025-08-12,1.0,0.8728221382344582,0.882657139525437,0.11734286047456295,15,2.2666666666666666,1125.3512123880107
2025-08-14,0.8,0.6947390555531798,0.7132614684428601,0.08673853155713991,5,3.4,1002.7950132188922
2025-08-17,0.1111111111111111,0.3172544698740498,0.36477889943981756,-0.25366778832870646,18,5.222222222222222,805.9310853883239
2025-08-19,0.9166666666666666,0.8004214683013111,0.8161520474924001,0.10051461917426652,24,2.875,1141.2140708640682
2025-08-21,0.25,0.36299485684291577,0.3933798442691485,-0.14337984426914852,16,5.0625,1132.506450211603
2025-08-26,0.75,0.7614455374718949,0.7891739675091216,-0.03917396750912166,16,3.1875,990.5548652298003
2025-08-28,0.36363636363636365,0.6838980780219611,0.7221236460245897,-0.35848728238822597,11,3.5454545454545454,963.9152544227304
2025-08-31,0.35,0.36508438160987766,0.4059330700896496,-0.05593307008964956,20,5.1,832.8019428657196
2025-09-02,0.6875,0.4725492664741073,0.5032764467665272,0.18422355323347284,16,4.6875,1210.2656139802575
2025-09-07,0.29411764705882354,0.27842384377940066,0.29114072351194253,0.002976923546880982,17,6.235294117647059,981.4112982621116
2025-09-09,0.5,0.29423401636016083,0.3032524581180436,0.19674754188195642,14,6.0,1521.9525212259305
2025-09-12,0.6153846153846154,0.6624237245639756,0.6641339845759554,-0.04874936919134006,13,3.6153846153846154,1582.7044574480058
2025-09-14,0.21052631578947367,0.16922261298173383,0.1742529275711965,0.03627338821827717,19,7.421052631578948,1474.0617836993683
2025-09-16,0.6,0.7741769270376254,0.7329444793065255,-0.13294447930652553,10,3.4,2262.8049810996217
2025-09-21,0.3333333333333333,0.3591936247150472,0.3645929726460115,-0.03125963931267811,12,6.083333333333333,1456.9209237878767
2025-09-23,0.0,0.6685666895096164,0.6570963018227935,-0.6570963018227935,1,4.0,1727.5848791671694
2025-09-24,0.5555555555555556,0.6170342762781575,0.6189150438003073,-0.0633594882447517,9,4.111111111111111,1579.1834415035867
2025-09-27,0.2777777777777778,0.34598654818274954,0.36303186224077194,-0.08525408446299418,18,6.0,1298.4285954979619
2025-09-28,0.2222222222222222,0.18788396706455077,0.1843983930873162,0.03782382913490599,9,7.333333333333333,1912.8667778544332
2025-09-30,0.23076923076923078,0.21541563237032582,0.2116103047920218,0.019158925977208988,13,8.23076923076923,2042.067339457527
2025-10-03,0.4,0.3936693979405385,0.3594091697051756,0.040590830294824375,15,5.4,2345.449868809482
2025-10-04,1.0,0.6205239621055143,0.5636093796457352,0.43639062035426485,9,4.222222222222222,2583.2508034263515
2025-10-05,1.0,0.8763833359235097,0.8318390349179802,0.16816096508201983,4,3.0,2517.421987111618
2025-10-07,0.0,0.10419135556715346,0.10023392045771824,-0.10023392045771824,12,7.0,2093.664946372259
2025-10-09,0.5,0.5567060522577829,0.5178807064815247,-0.017880706481524726,4,4.75,2246.192280041476
2025-10-11,0.5714285714285714,0.39223708217939096,0.3814394438984979,0.1899891275300735,7,5.428571428571429,1926.7959265457946
2025-10-13,0.6428571428571429,0.5074126815290453,0.4979927642899149,0.14486437856722795,14,4.857142857142857,1780.210661608481
2025-10-15,0.8421052631578947,0.6032212743297777,0.5951313536343665,0.24697390952352816,19,4.105263157894737,1779.6353364369659
2025-10-19,0.0,0.004772279918405249,0.006434427060814573,-0.006434427060814573,10,10.0,1459.6198000924953
2025-10-21,0.18181818181818182,0.6956302862769708,0.6570963018227935,-0.4752781200046117,11,4.0,2099.8730361732214
2025-10-31,0.14285714285714285,0.5558696977955504,0.6040101226637978,-0.461152979806655,7,4.142857142857143,844.0563791927299
2025-11-12,1.0,0.5767043979463344,0.6452460368009196,0.3547539631990805,13,3.769230769230769,297.16526573747313
2025-11-16,0.14285714285714285,0.09097898118506777,0.11323483352671206,0.029622309330430783,7,8.571428571428571,359.9533884972686
2025-11-18,0.0,0.010232025379427377,0.016442593182564774,-0.016442593182564774,11,9.0,792.3654887571179
2025-11-20,0.6666666666666666,0.6998706014870374,0.706543164006957,-0.039876497340290404,9,3.6666666666666665,1454.9441327931581
2025-11-22,0.45454545454545453,0.3523810687446771,0.36727700232543703,0.08726845222001757,11,5.636363636363637,1304.3121827826283
2025-11-23,0.25,0.37661192134644794,0.38141340993061135,-0.13141340993061137,4,5.75,1596.1904677818798
2025-11-25,0.6666666666666666,0.6468466560910366,0.6570963018227935,0.009570364843873117,3,4.0,1439.8613241942403
2025-12-02,0.9333333333333333,0.7145452363862197,0.757090131849701,0.17624320148363234,15,3.1333333333333333,741.356931625011
2025-12-07,0.5,0.6803016819667267,0.7414347808579556,-0.24143478085795547,6,3.1666666666666665,564.2804366931457
2025-12-10,0.16666666666666666,0.11542088799907939,0.1439905438527426,0.02267612281392405,12,7.333333333333333,477.7965740512115
2025-12-14,0.25,0.1699841346307591,0.19530111964974772,0.0546988803502523,12,7.0,818.1064658117931
2025-12-15,0.9,0.8295265904924666,0.834187574062585,0.06581242593741501,10,2.7,1364.2533422036668
2026-01-11,0.6666666666666666,0.5386963510738401,0.6570963018227935,0.009570364843873117,3,4.0,97.8500523615043
2026-01-17,0.18181818181818182,0.31301179623131103,0.4073123315335939,-0.2254941497154121,11,5.2727272727272725,82.81471899460969
2026-02-04,0.7647058823529411,0.5900162382717619,0.6687813998812359,0.09592448247170524,17,3.588235294117647,74.3401109636999
