id,time,grade,send/reps,type,weight,outside,effort,date,send,attempts,attempt_load,readiness,predicted_send_probability,grade_only_expected_send_probability,performance_residual
815,2024-07-28 17:45:51.138339,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
816,2024-07-28 17:47:29.702919,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
817,2024-07-28 18:00:27.378438,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
818,2024-07-28 18:07:32.301508,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
819,2024-07-28 18:18:39.377857,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
820,2024-07-28 18:19:21.015501,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
821,2024-07-28 18:23:44.929566,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
822,2024-07-28 18:40:35.209287,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
823,2024-07-30 18:08:51.567822,2,1,0,250.0,0,5,2024-07-30,1,1,4,2641.943517036453,0.9522286779551545,0.9273753283850786,0.07262467161492137
824,2024-07-30 18:11:22.023469,3,1,0,250.0,0,5,2024-07-30,1,1,9,2641.943517036453,0.8808372664171201,0.8318390349179802,0.16816096508201983
825,2024-07-30 18:12:49.809469,4,1,0,250.0,0,5,2024-07-30,1,1,16,2641.943517036453,0.7327041564769738,0.6570963018227935,0.34290369817720645
826,2024-07-30 18:15:25.119544,5,1,0,250.0,0,5,2024-07-30,1,1,25,2641.943517036453,0.5040971721374153,0.4260573723585436,0.5739426276414564
827,2024-07-30 18:18:57.592837,7,1,0,250.0,0,5,2024-07-30,1,1,49,2641.943517036453,0.12264639676022694,0.10023392045771826,0.8997660795422817
828,2024-07-30 18:28:45.314249,6,1,0,250.0,0,5,2024-07-30,1,1,36,2641.943517036453,0.27376415496943185,0.22334270735276335,0.7766572926472366
829,2024-07-30 18:36:01.394251,7,0,0,250.0,0,5,2024-07-30,0,1,49,2641.943517036453,0.12264639676022694,0.10023392045771826,-0.10023392045771826
830,2024-07-30 18:40:39.690645,7,0,0,250.0,0,5,2024-07-30,0,1,49,2641.943517036453,0.12264639676022694,0.10023392045771826,-0.10023392045771826
831,2024-07-30 18:46:12.893535,7,0,0,250.0,0,5,2024-07-30,0,1,49,2641.943517036453,0.12264639676022694,0.10023392045771826,-0.10023392045771826
832,2024-07-30 18:53:16.837563,8,0,0,250.0,0,5,2024-07-30,0,1,64,2641.943517036453,0.04928466999831179,0.04136939225873243,-0.04136939225873243
833,2024-07-30 18:57:17.363556,8,0,0,250.0,0,5,2024-07-30,0,1,64,2641.943517036453,0.04928466999831179,0.04136939225873243,-0.04136939225873243
834,2024-07-30 19:01:35.762637,8,0,0,250.0,0,5,2024-07-30,0,1,64,2641.943517036453,0.04928466999831179,0.04136939225873243,-0.04136939225873243
835,2024-07-30 19:09:46.283710,7,0,0,250.0,0,5,2024-07-30,0,1,49,2641.943517036453,0.12264639676022694,0.10023392045771826,-0.10023392045771826
836,2024-07-30 19:17:32.307699,7,0,0,250.0,0,5,2024-07-30,0,1,49,2641.943517036453,0.12264639676022694,0.10023392045771826,-0.10023392045771826
837,2024-07-30 19:25:55.921068,7,0,0,250.0,0,5,2024-07-30,0,1,49,2641.943517036453,0.12264639676022694,0.10023392045771826,-0.10023392045771826
838,2024-08-01 18:55:34.195323,1,1,0,250.0,0,5,2024-08-01,1,1,1,2728.563791565222,0.9822494550379004,0.9705563170026417,0.029443682997358334
839,2024-08-01 18:56:19.393956,2,1,0,250.0,0,5,2024-08-01,1,1,4,2728.563791565222,0.9535330243747597,0.9273753283850786,0.07262467161492137
840,2024-08-01 18:57:17.526928,3,1,0,250.0,0,5,2024-08-01,1,1,9,2728.563791565222,0.8838531217754395,0.8318390349179802,0.16816096508201983
841,2024-08-01 19:00:24.858199,4,1,0,250.0,0,5,2024-08-01,1,1,16,2728.563791565222,0.7383554470737409,0.6570963018227935,0.34290369817720645
842,2024-08-01 19:05:15.367036,5,1,0,250.0,0,5,2024-08-01,1,1,25,2728.563791565222,0.5113584316321,0.4260573723585436,0.5739426276414564
843,2024-08-01 19:08:02.239386,6,0,0,250.0,0,5,2024-08-01,0,1,36,2728.563791565222,0.27957809808240713,0.22334270735276335,-0.22334270735276335
844,2024-08-01 19:12:08.180812,6,1,0,250.0,0,5,2024-08-01,1,1,36,2728.563791565222,0.27957809808240713,0.22334270735276335,0.7766572926472366
845,2024-08-01 19:21:25.797462,8,1,0,250.0,0,5,2024-08-01,1,1,64,2728.563791565222,0.050663907738281784,0.04136939225873243,0.9586306077412676
846,2024-08-01 19:33:05.870687,9,0,0,250.0,1,5,2024-08-01,0,1,81,2728.563791565222,0.019406575012279343,0.016442593182564774,-0.016442593182564774
